门店名称,大类名称,子类名称,菜品编码,菜品短编码,菜品名称,规格,出品分量(kg),损耗,物料单位,物料号,物料描述,单位
加拿大一店,,,90001518,1002777,麻辣豆花鱼火锅,单锅,,,,3000759,清油底料（300G*40包/件）,锅
加拿大一店,,,90001518,1002778,麻辣豆花鱼火锅,拼锅,,,,4514409,,锅
加拿大一店,,,90001518,1002778,麻辣豆花鱼火锅,拼锅,,,,4517139,,锅
加拿大一店,,,90001518,1002778,麻辣豆花鱼火锅,拼锅,,,,3002747,无渣调味粉（28G*120包/件，加拿大内用）,锅
加拿大一店,,,90001518,1002778,麻辣豆花鱼火锅,拼锅,,,,3000759,清油底料（300G*40包/件）,锅
加拿大一店,,,90001518,1002779,麻辣豆花鱼火锅,四宫格,,,,4514409,,锅
加拿大一店,,,90001518,1002779,麻辣豆花鱼火锅,四宫格,,,,4517139,,锅
加拿大一店,,,90001518,1002779,麻辣豆花鱼火锅,四宫格,,,,3002747,无渣调味粉（28G*120包/件，加拿大内用）,锅
加拿大一店,,,90001518,1002779,麻辣豆花鱼火锅,四宫格,,,,3000759,清油底料（300G*40包/件）,锅
加拿大二店,,,90001518,1002777,麻辣豆花鱼火锅,单锅,,,,4018965,黑鱼片（1KG*10包/箱）,锅
加拿大二店,,,90001518,1002777,麻辣豆花鱼火锅,单锅,,,,1500837,干青花椒（LB）,锅
加拿大二店,,,90001518,1002777,麻辣豆花鱼火锅,单锅,,,,3002747,无渣调味粉（28G*120包/件，加拿大内用）,锅
加拿大二店,,,90001518,1002777,麻辣豆花鱼火锅,单锅,,,,3000759,清油底料（300G*40包/件）,锅
加拿大二店,,,90001518,1002778,麻辣豆花鱼火锅,拼锅,,,,4018965,黑鱼片（1KG*10包/箱）,锅
加拿大二店,,,90001518,1002778,麻辣豆花鱼火锅,拼锅,,,,1500837,干青花椒（LB）,锅
加拿大二店,,,90001518,1002778,麻辣豆花鱼火锅,拼锅,,,,3002747,无渣调味粉（28G*120包/件，加拿大内用）,锅
加拿大二店,,,90001518,1002778,麻辣豆花鱼火锅,拼锅,,,,3000759,清油底料（300G*40包/件）,锅
加拿大二店,,,90001518,1002779,麻辣豆花鱼火锅,四宫格,,,,4018965,黑鱼片（1KG*10包/箱）,锅
加拿大二店,,,90001518,1002779,麻辣豆花鱼火锅,四宫格,,,,1500837,干青花椒（LB）,锅
加拿大二店,,,90001518,1002779,麻辣豆花鱼火锅,四宫格,,,,3002747,无渣调味粉（28G*120包/件，加拿大内用）,锅
加拿大二店,,,90001518,1002779,麻辣豆花鱼火锅,四宫格,,,,3000759,清油底料（300G*40包/件）,锅
加拿大二店,锅底类,单锅类,1060066,10016,番茄火锅,单锅,,,,3002745,番茄火锅底料（300G*40包/件，加拿大内用）,锅
加拿大二店,锅底类,单锅类,1060066,13066,番茄火锅,拼锅,,,,3002745,番茄火锅底料（300G*40包/件，加拿大内用）,锅
加拿大二店,锅底类,单锅类,1060066,13102,番茄火锅,四宫格,,,,3002745,番茄火锅底料（300G*40包/件，加拿大内用）,锅
加拿大二店,锅底类,拼锅类,1060061,10004,清油麻辣火锅,单锅,,,,3000759,清油底料（300G*40包/件）,锅
加拿大二店,锅底类,拼锅类,1060061,13061,清油麻辣火锅,拼锅,,,,3000759,清油底料（300G*40包/件）,锅
